NC_030372.1,KR075871.1,100.000,133929,0,0,1,133929,1,133929,0.0,2.473e+05
NC_030372.1,KR075871.1,99.320,294,2,0,129657,129950,101705,101998,2.84e-144,532
NC_030372.1,KR075871.1,99.320,294,2,0,101705,101998,129657,129950,2.84e-144,532
NC_030372.1,KR075871.1,100.000,281,0,0,59664,59944,59568,59848,2.21e-140,520
NC_030372.1,KR075871.1,100.000,281,0,0,59568,59848,59664,59944,2.21e-140,520
NC_030372.1,KR075871.1,100.000,185,0,0,59760,59944,59568,59752,5.13e-87,342
NC_030372.1,KR075871.1,100.000,185,0,0,59568,59752,59760,59944,5.13e-87,342
NC_030372.1,KR075871.1,96.875,192,4,1,126387,126578,66980,66791,2.40e-80,320
NC_030372.1,KR075871.1,96.875,192,4,1,66791,66980,126578,126387,2.40e-80,320
NC_030372.1,KR075871.1,96.089,179,2,2,89263,89441,59465,59292,2.44e-70,287
NC_030372.1,KR075871.1,96.089,179,2,2,59292,59465,89441,89263,2.44e-70,287
NC_030372.1,KR075871.1,92.040,201,12,4,52595,52793,52463,52661,4.08e-68,279
NC_030372.1,KR075871.1,92.000,200,14,2,52463,52661,52595,52793,4.08e-68,279
NC_030372.1,KR075871.1,87.554,233,17,2,23868,24100,23775,23995,5.32e-62,259
NC_030372.1,KR075871.1,87.554,233,17,2,23775,23995,23868,24100,5.32e-62,259
NC_030372.1,KR075871.1,88.318,214,23,2,52582,52793,52481,52694,6.88e-61,255
NC_030372.1,KR075871.1,88.318,214,23,2,52481,52694,52582,52793,6.88e-61,255
NC_030372.1,KR075871.1,82.373,295,47,5,52501,52793,52469,52760,8.89e-60,252
NC_030372.1,KR075871.1,82.313,294,49,3,52469,52760,52501,52793,8.89e-60,252
NC_030372.1,KR075871.1,85.185,216,16,8,23891,24100,23637,23842,1.95e-46,207
NC_030372.1,KR075871.1,85.185,216,16,8,23637,23842,23891,24100,1.95e-46,207
NC_030372.1,KR075871.1,96.748,123,2,2,109446,109568,26290,26170,2.53e-45,204
NC_030372.1,KR075871.1,99.115,113,1,0,26178,26290,109558,109446,2.53e-45,204
NC_030372.1,KR075871.1,79.932,294,33,16,23765,24050,23637,23912,5.47e-42,193
NC_030372.1,KR075871.1,79.932,294,33,16,23637,23912,23765,24050,5.47e-42,193
NC_030372.1,KR075871.1,82.427,239,11,13,23798,24015,23637,23865,4.26e-38,180
NC_030372.1,KR075871.1,82.427,239,11,13,23637,23865,23798,24015,4.26e-38,180
NC_030372.1,KR075871.1,100.000,89,0,0,59856,59944,59568,59656,1.19e-33,165
NC_030372.1,KR075871.1,100.000,89,0,0,59568,59656,59856,59944,1.19e-33,165
NC_030372.1,KR075871.1,98.824,85,1,0,63623,63707,63538,63622,9.28e-30,152
NC_030372.1,KR075871.1,98.824,85,1,0,63538,63622,63623,63707,9.28e-30,152
NC_030372.1,LC500582.1,97.875,16942,220,40,86930,103804,21915,5047,0.0,29163
NC_030372.1,LC500582.1,97.571,11649,148,48,89,11678,98708,87136,0.0,19819
NC_030372.1,LC500582.1,96.111,11160,240,62,74546,85605,34179,23114,0.0,18026
NC_030372.1,LC500582.1,94.302,10390,288,102,13620,23865,85103,74874,0.0,15627
NC_030372.1,LC500582.1,96.623,7759,141,28,66808,74511,41835,34143,0.0,12765
NC_030372.1,LC500582.1,96.528,7430,176,33,116132,123534,124842,117468,0.0,12216
NC_030372.1,LC500582.1,98.056,6120,78,7,43629,49748,55180,49102,0.0,10604
NC_030372.1,LC500582.1,97.681,5691,86,18,110097,115760,130514,124843,0.0,9736
NC_030372.1,LC500582.1,97.187,5653,67,22,38005,43603,60789,55175,0.0,9474
NC_030372.1,LC500582.1,96.667,5070,114,12,104308,109330,5062,1,0.0,8375
NC_030372.1,LC500582.1,96.763,4943,59,33,129016,133913,44216,49102,0.0,8148
NC_030372.1,LC500582.1,95.881,4880,65,31,25794,30591,73209,68384,0.0,7773
NC_030372.1,LC500582.1,97.403,4004,48,16,33970,37960,64735,60775,0.0,6767
NC_030372.1,LC500582.1,96.757,3423,69,19,60019,63411,105078,101668,0.0,5668
NC_030372.1,LC500582.1,90.627,3574,253,27,54794,58326,110189,106657,0.0,4669
NC_030372.1,LC500582.1,97.068,2353,41,13,126415,128753,41691,44029,0.0,3938
NC_030372.1,LC500582.1,96.508,2062,29,29,31930,33984,66951,64926,0.0,3369
NC_030372.1,LC500582.1,97.527,1941,30,8,50226,52159,114775,112846,0.0,3302
NC_030372.1,LC500582.1,97.122,1807,25,2,11874,13653,86910,85104,0.0,3024
NC_030372.1,LC500582.1,93.911,1905,60,28,64403,66282,100870,98997,0.0,2824
NC_030372.1,LC500582.1,88.153,2009,192,24,52799,54785,112247,110263,0.0,2350
NC_030372.1,LC500582.1,95.120,1168,26,9,85701,86841,23113,21950,0.0,1812
NC_030372.1,LC500582.1,89.785,1302,75,32,124205,125495,117190,115936,0.0,1615
NC_030372.1,LC500582.1,94.349,991,14,15,30590,31546,68353,67371,0.0,1482
NC_030372.1,LC500582.1,89.534,1137,67,23,23807,24923,75142,74038,0.0,1393
NC_030372.1,LC500582.1,85.735,1409,88,40,23856,25158,75153,73752,0.0,1384
NC_030372.1,LC500582.1,95.828,791,32,1,125598,126387,115864,115074,0.0,1277
NC_030372.1,LC500582.1,97.425,738,15,3,63521,64256,101677,100942,0.0,1254
NC_030372.1,LC500582.1,91.381,847,63,6,58357,59197,106587,105745,0.0,1151
NC_030372.1,LC500582.1,93.377,755,35,10,109331,110083,131472,130731,0.0,1103
NC_030372.1,LC500582.1,95.792,499,20,1,25198,25695,73757,73259,0.0,804
NC_030372.1,LC500582.1,93.878,294,3,1,101705,101998,44853,45131,3.83e-113,429
NC_030372.1,LC500582.1,93.197,294,5,1,129657,129950,7131,6853,8.29e-110,418
NC_030372.1,LC500582.1,89.759,332,16,7,31527,31846,67352,67027,4.99e-107,409
